Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;FL 750 LAC;Empruntable;Local;Aristide Caillaud l'enchanteur 1902-1990;LACARRIÈRE Jacques;2001;1;;Arts;La peinture et les peintures;"Ce livre nous amène dans l'univers d'Aristide Caillaud, artiste peintre né à Moulins proche de Mauléon. Ce livre est divisé en cinq parties:
- Les deux premières sont deux textes, ""Impressions d'atelier"" de Christian Gendron et ""Aristide de Sirène"" de Jacques Lacarrière.
- Deux grands chapitres sont consacrés à l'imaginaire d'A. Caillaud , ""Aristide Caillaud l'Enchanteur"" et ""Au pays d'Aristide"", illustrés par de très nombreuses œuvres de l'artiste et accompagnés des textes de Jacques Lacarrière.
- Une biographie d'A. Caillaud et une bibliographie complètent cet ouvrage.";
Livre;FL 750 LAC;Empruntable;Local;Aristide Caillaud - Quarante années de créations;LACARRIÈRE Jacques;1986;1;;Arts;La peinture et les peintures;Ce livre présente en première partie les œuvres du peintre Aristide Caillaud - Une biographie et une bibliographie de l'artiste ainsi qu'un catalogue de ses œuvres sont proposés en fin de livre - Le livre est illustré par des photos de l'artiste.;
Livre;720 CAU;Empruntable;Autre;ABÉCÉDAIRE OU RUDIMENT D'ARCHÉOLOGIE;CAUMONT Arcisse de;1851;2;;Arts;Architecture.;"« Ouvrage approuvé par l'Institut des Provinces de France pour l'enseignement de cette science dans les Collèges, les Séminaires et les Maisons d'Éducation des deux sexes. » par le marquis Arcisse de Caumont.
- Architecture romane primitive - Ère romane secondaire - Ère ogivale - Styles ogival primitif, secondaire, tertiaire - Renaissance -";
Livre;726 7 EYG;Empruntable;Autre;L'Abbaye Notre-Dame de la Réau;EYGUN François;1938;1;;Arts;Edifices religieux Monastères, abbayes, couvents;"Monographie de l'abbaye Notre-Dame de la Réau située au confins du Poitou et de la Basse-Marche fondée au XIIe siècle et relevant de l’Ordre des Augustins.
L'ouvrage de François Eygun permet de suivre les vicissitudes de l'histoire monastique des Augustins au temps de la guerre de Cent Ans et de la Réforme, puis l’abbatiat de Louis de la Rochefoucault et l'introduction des Génovéfains jusqu'à la Révolution.
La deuxième partie du livre est consacrée à l'extension territoriale de l'abbaye du Nord à l'Ouest, de Fougères à Ruffec, suivi par l'étude archéologique du monastère : plans, modifications successives, description des divers bâtiments, église, cloître, salle capitulaire…
Plans, dessins et relevés photographiques illustrent le texte.";
Livre;FL 726 5 FAU;Empruntable;Local;L'ÉGLISE NOTRE-DAME DE NIORT - DU CONCORDAT À LA LOI DE SÉPARATION DES ÉGLISES ET DE L'ÉTAT (1801-1905);FAUCHER Jean-Claude;2018;1;;Arts;Edifices religieux Eglises chrétiennes;Jean-Claude Faucher « explique comment se sont déroulés dans cette ville de province les petits et grands événements qui en partant du Concordat de 1801 ont abouti à la loi de 1905, c’est-à-dire à la loi de séparation des Églises et de l'État, et ceci perçu à travers la vie quotidienne des Niortais et de sept archiprêtres de Niort, curés de la paroisse Notre Dame : le curé Bouhier, le curé Filleau, le curé Taury, le curé Braud, le curé Guillet, le curé Richard, le curé Coutant. »;
Livre;609 LER;Empruntable;Autre;L'HOMME et la Matière;LEROY-GOURHAN André;1949;1;;Technologie et Sciences appliquées;Technologies. Histoire et géographie;"Collection ""Sciences d'aujourd'hui""
- André Leroy-Gourhan explore les techniques utilisées par l'Homme pour agir sur la nature et transformer la matière. 
- Moyens élémentaires d'action sur la matière : les percussions, le feu, l'eau, l'air, la force.
- Les transports : portages humain et animal, trainage et roulage, traction et direction, navigation.
- Les techniques de fabrication : les solides stables, fibreux, semi-plastiques, plastiques, souples, les fluides.";
Livre;641 873 GIR;Empruntable;Autre;Guide DE LA BIÈRE ET DE SES A-COTÉS;GIRARD Sylvie;1983;1;;Technologie et Sciences appliquées;Bière;Pour mieux apprécier la bière, le guide propose de partir à sa découverte : remonter le temps jusqu'à Sumer, accompagner « cervoisiers » et brasseurs dans la longue épopée de ses légendes et péripéties, connaître les aspects techniques de sa fabrication, ses variétés, ses coutumes, ses multiples façons de la servir, et parfois de s'en servir.;
Livre;255 4 BRE;Empruntable;Autre;LES GÉNOVÉFAINS en Haute-Bretagne, en Anjou et dans le Maine aux XVIIe et XVIIIe siècles;BRETON Yves;2006;1;;Religion;Congrégations et ordres religieux. Augustins;« Nés au Moyen Age, les chanoines réguliers suivent la règle de Saint Augustin et peuvent se consacrer au service pastoral . L'Ouest de la France voit ainsi s'implanter de nombreuses abbayes. À partir de 1630, elles s'agrègent à la Congrégation de France (les Génovéfains) dont la maison-mère est à l'abbaye Sainte-Geneviève à Paris. Le livre se propose d'étudier de quelle manière s'est effectué cette réforme, les appuis, les résistances. Une analyse approfondie du temporel et l'approche du fonctionnement et de l'organisation de ces maisons apportent un éclairage novateur sur cette situation. »;
Livre;944 033 RIV;Empruntable;Autre;La vie des Protestants du Poitou après la Révocation (1685-1700);RIVIERRE Jean;1997;2;;Géographie et Histoire;Louis XIV, 1643-1715;Dans l'ouvrage édité par la Société Historique et Scientifique des Deux-Sèvres. Jean Rivierre tente d'expliquer et de comprendre comment en 1697 et 1698, le peuple protestant, en particulier dans le Moyen-Poitou (Niortais, Saint-Maixentais, Mellois) malgré la dragonnade et la Révocation a réussi à résister, à rétablir son culte et à reconstituer son Église. L'ouvrage, augmentée d'une carte des localisations des assemblées illicites en Poitou est composée de deux tomes, l'histoire religieuse poitevine éditée en 1973 et une étude consacrée aux assemblées secrètes de la fin du XVIIe siècle publiée en 1977.;
Livre;FL B MAR;Empruntable;Local;Osifi, la mariée ou les tribulations d’une femme blanche en Afrique Noire.;MARQUIS KOKUVI Jacqueline;2025;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;Jacqueline Marquis originaire des Deux-Sèvres a épousé en 1966 à Poitiers Jean Kokuvi, étudiant togolais. En 1969, ils rentrent au Togo, fonctionnaires tous les deux. Dans cette ouvrage, Jacqueline Kokuvi partage une partie de son expérience togolaise de 1969 à 1991.;
